indicador,n,percentual
Internet,170762,79.7
Banda larga,149966,70
Internet para aprendizagem,132553,61.9
Laboratório de informática,52102,24.3
Desktop para alunos,88333,41.2
Notebook para alunos,83148,38.8
Tablet para alunos,43813,20.5
Energia por rede pública,174882,81.6
Energia inexistente,1801,0.8
